Athlete,Country,2019 Heats,2019 Semi,2019 Finals,2022 Heats,2022 Semi,2022 Finals
Grant Holloway,USA,0.16,0.166,0.158,0.147,0.128,0.124
Devon Allen,USA,0.125,0.119,0.124,0.123,0.101,0.099
Shane Brathwaite,Barbados,0.156,0.169,0.149,0.134,0.115,0.108
Orlando Bennett,Jamaica,0.139,0.162,,0.159,0.139,
Andrew Pozzi,Great Britain,0.16,0.123,,0.12,0.141,
Milan Trajkovic,Cyprus,0.148,0.162,0.15,0.133,0.142,
Wenjun Xie,China,0.156,0.137,0.14,0.116,,
Jason Joseph,Switzerland,0.183,0.158,,0.14,0.149,
Antonio Alkana,South Africa,0.126,0.123,,0.116,,
Pascal Martinot-Lagarde,France,0.16,0.163,0.161,0.134,0.129,
Kuei-Ru Chen,TPE,0.19,0.132,,0.134,,
Nicholas Hough,Australia,0.144,0.176,,0.153,0.131,
Elmo Lakka,Finland,0.156,,,0.143,,
Louis Francois Mendy,Senegal,0.203,,,0.179,,
Eduardo Rodrigues,Brazil,0.165,,,0.134,0.13,
