Athlete,2019 Heats,2019 Semi,2019 Final,2022 Heats,2022 Semi,2022 Final
Shelly-Ann FRASER-PRYCE,0.173,0.133,0.134,0.146,0.153,0.137
Murielle AHOURÉ-DEMPS,0.18,0.165,0.142,0.122,0.123,
Gina LÜCKENKEMPER,0.235,0.209,,0.195,0.182,
Ewa SWOBODA,0.185,0.142,,0.119,0.126,
Diana VAISMAN,0.144,,,0.148,,
Marie-Josée TA LOU-SMITH,0.192,0.156,0.171,0.152,0.159,0.15
Daryll NEITA,0.156,0.15,,0.153,0.157,
Crystal EMMANUEL-AHYE,0.161,0.15,,0.122,,
Elaine THOMPSON-HERAH,0.162,0.145,0.143,0.143,0.128,0.149
Manqi GE,0.157,0.135,,0.123,0.132,
Zarinae SAPONG,0.208,,,0.229,,
Dina ASHER-SMITH,0.127,0.145,0.129,0.132,0.143,0.116
TyNia GAITHER,0.153,0.145,,0.119,0.093,
Lorène Dorcas BAZOLO,0.166,,,0.127,,
Mujinga KAMBUNDJI,0.144,0.132,,0.124,0.131,0.122
Xiaojing LIANG,0.176,0.155,,0.132,,
Zoe HOBBS,0.17,,,0.151,0.151,
Olga SAFRONOVA,0.153,,,0.125,,
Imani LANSIQUOT,0.159,0.152,,0.135,,
Vitoria Cristina ROSA,0.177,,,0.154,,
Ajla DEL PONTE,0.121,,,0.11,,
