Athlete,Country,2022 Heats,2022 Semi,2022 Final,2023 Heat,2023 Semi,2023 Final
Michelle Harrison,Canada,0.137,0.106,,0.152,0.158,
Mette Garvesgaard,Denmark,0.13,0.134,,0.166,0.163,
Naomi Akakpo,Toga,0.148,,,0.165,,
Nia Ali,USA,0.13,,,0.142,0.156,0.159
Jasmine Camacho-Quinn,Puerto Rico,0.185,0.126,0.127,0.16,0.138,0.164
Devynne Charlton,Bahamas,0.124,0.138,0.129,0.159,0.177,0.149
Cyrena Samba-Mayela,France,0.108,,,0.144,0.17,
Kladia Siciarz,Poland,0.124,,,0.167,,
Tobi Amusan,Nigeria,0.135,0.144,0.13,0.149,0.155,0.152
Danielle Williams,Jamaica,0.194,0.105,0.105,0.116,0.133,0.132
Sarah Lavin,Ireland,0.117,0.117,,0.139,0.139,
Celeste Mucci,Australia,0.163,0.143,,0.171,0.175,
Ditaji Kambundji,Switzerland,0.137,0.134,,0.145,0.141,0.14
Ebony Morrison,Liberia,0.119,,,0.165,,
Sidonie Fiadanantsoa,Madagascar,0.14,,,0.149,,
Pia Skrzyszowska,Poland,0.131,0.119,,0.142,0.136,
Nadine Visser,Netherlands,0.136,0.125,,0.146,0.131,
Megan Tapper,Jamaica,0.166,0.173,,0.168,0.162,
Marione Fourie,RSA,0.14,0.128,,0.164,0.158,
Laetiicia Bapte,France,0.181,0.157,,0.18,,
Kendra Harrison,USA,0.182,0.155,0.145,0.155,0.142,0.155
Cindy Sember,Britain,0.149,0.158,0.158,0.173,0.167,
Michelle Jenneke,Australia,0.131,0.12,,0.156,0.146,
Reeta Hurske,Finland,0.129,0.113,,0.14,0.137,
Masumi Aoki,Japan,0.134,0.123,,0.136,,
