Time,Athlete,Year,Event
0.16,1,0,0
0.166,1,0,0
0.158,1,0,0
0.147,1,1,0
0.128,1,1,0
0.124,1,1,0
0.125,2,0,0
0.119,2,0,0
0.124,2,0,0
0.123,2,1,0
0.101,2,1,0
0.099,2,1,0
0.156,3,0,0
0.169,3,0,0
0.149,3,0,0
0.134,3,1,0
0.115,3,1,0
0.108,3,1,0
0.139,4,0,0
0.162,4,0,0
0.159,4,1,0
0.139,4,1,0
0.16,5,0,0
0.123,5,0,0
0.12,5,1,0
0.141,5,1,0
0.148,6,0,0
0.162,6,0,0
0.15,6,0,0
0.133,6,1,0
0.142,6,1,0
0.156,7,0,0
0.137,7,0,0
0.14,7,0,0
0.116,7,1,0
0.183,8,0,0
0.158,8,0,0
0.14,8,1,0
0.149,8,1,0
0.126,9,0,0
0.123,9,0,0
0.116,9,1,0
0.16,10,0,0
0.163,10,0,0
0.161,10,0,0
0.134,10,1,0
0.129,10,1,0
0.19,11,0,0
0.132,11,0,0
0.134,11,1,0
0.144,12,0,0
0.176,12,0,0
0.153,12,1,0
0.131,12,1,0
0.156,13,0,0
0.143,13,1,0
0.203,14,0,0
0.179,14,1,0
0.165,15,0,0
0.134,15,1,0
0.13,15,1,0
0.136,16,0,1
0.132,16,0,1
0.117,16,0,1
0.128,16,1,1
0.108,16,1,1
0.129,16,1,1
0.155,17,0,1
0.161,17,0,1
0.155,17,0,1
0.141,17,1,1
0.138,17,1,1
0.155,17,1,1
0.138,18,0,1
0.197,18,0,1
0.14,18,0,1
0.128,18,1,1
0.146,18,1,1
0.132,19,0,1
0.127,19,1,1
0.142,19,1,1
0.124,20,0,1
0.109,20,1,1
0.138,21,0,1
0.113,21,0,1
0.119,21,0,1
0.134,21,1,1
0.121,21,1,1
0.162,22,0,1
0.24,22,0,1
0.116,22,1,1
0.128,22,1,1
0.137,23,0,1
0.175,23,0,1
0.143,23,1,1
0.135,23,1,1
0.158,24,0,1
0.135,24,1,1
0.14,25,0,1
0.141,25,1,1
0.142,26,0,1
0.14,26,1,1
0.166,27,0,1
0.171,27,0,1
0.142,27,0,1
0.113,27,1,1
0.141,27,1,1
0.13,28,0,1
0.175,28,0,1
0.141,28,1,1
0.129,28,1,1
0.129,29,0,1
0.189,29,0,1
0.134,29,1,1
0.133,29,1,1
0.148,30,0,1
0.157,30,0,1
0.128,30,0,1
0.122,30,1,1
0.118,30,1,1
0.104,30,1,1
0.154,31,0,1
0.18,31,0,1
0.11,31,1,1
0.175,32,0,1
0.206,32,0,1
0.112,32,1,1
0.124,32,1,1
0.147,32,1,1
0.142,33,0,1
0.124,33,1,1
0.122,33,1,1
0.193,34,0,1
0.116,34,1,1
