Time,Athlete,Year
0.136,1,0
0.132,1,0
0.117,1,0
0.128,1,1
0.108,1,1
0.129,1,1
0.155,2,0
0.161,2,0
0.155,2,0
0.141,2,1
0.138,2,1
0.155,2,1
0.138,3,0
0.197,3,0
0.14,3,0
0.128,3,1
0.146,3,1
0.132,4,0
0.127,4,1
0.142,4,1
0.124,5,0
0.109,5,1
0.138,6,0
0.113,6,0
0.119,6,0
0.134,6,1
0.121,6,1
0.162,7,0
0.24,7,0
0.116,7,1
0.128,7,1
0.137,8,0
0.175,8,0
0.143,8,1
0.135,8,1
0.158,9,0
0.135,9,1
0.14,10,0
0.141,10,1
0.142,11,0
0.14,11,1
0.166,12,0
0.171,12,0
0.142,12,0
0.113,12,1
0.141,12,1
0.13,13,0
0.175,13,0
0.141,13,1
0.129,13,1
0.129,14,0
0.189,14,0
0.134,14,1
0.133,14,1
0.148,15,0
0.157,15,0
0.128,15,0
0.122,15,1
0.118,15,1
0.104,15,1
0.154,16,0
0.18,16,0
0.11,16,1
0.175,17,0
0.206,17,0
0.112,17,1
0.124,17,1
0.147,17,1
0.142,18,0
0.124,18,1
0.122,18,1
0.193,19,0
0.116,19,1
