Time,Event
0.16,2019 Heat
0.125,2019 Heat
0.156,2019 Heat
0.139,2019 Heat
0.16,2019 Heat
0.148,2019 Heat
0.156,2019 Heat
0.183,2019 Heat
0.126,2019 Heat
0.16,2019 Heat
0.19,2019 Heat
0.144,2019 Heat
0.156,2019 Heat
0.203,2019 Heat
0.165,2019 Heat
0.166,2019 Semi
0.119,2019 Semi
0.169,2019 Semi
0.162,2019 Semi
0.123,2019 Semi
0.162,2019 Semi
0.137,2019 Semi
0.158,2019 Semi
0.123,2019 Semi
0.163,2019 Semi
0.132,2019 Semi
0.176,2019 Semi
0.158,2019 Final
0.124,2019 Final
0.149,2019 Final
0.15,2019 Final
0.14,2019 Final
0.161,2019 Final
0.147,2022 Heat
0.123,2022 Heat
0.134,2022 Heat
0.159,2022 Heat
0.12,2022 Heat
0.133,2022 Heat
0.116,2022 Heat
0.14,2022 Heat
0.116,2022 Heat
0.134,2022 Heat
0.134,2022 Heat
0.153,2022 Heat
0.143,2022 Heat
0.179,2022 Heat
0.134,2022 Heat
0.128,2022 Semi
0.101,2022 Semi
0.115,2022 Semi
0.139,2022 Semi
0.141,2022 Semi
0.142,2022 Semi
0.149,2022 Semi
0.129,2022 Semi
0.131,2022 Semi
0.13,2022 Semi
0.124,2022 Final
0.099,2022 Final
0.108,2022 Final
