Time,Athlete,Year,Event
0.149,1,0,0
0.158,1,1,0
0.126,2,0,0
0.122,2,0,0
0.127,2,0,0
0.194,2,1,0
0.105,2,1,0
0.105,2,1,0
0.144,3,0,0
0.15,3,0,0
0.157,3,0,0
0.122,3,1,0
0.154,3,1,0
0.164,4,0,0
0.163,4,1,0
0.131,5,0,0
0.155,5,0,0
0.14,5,0,0
0.182,5,1,0
0.155,5,1,0
0.146,6,0,0
0.128,6,0,0
0.129,6,1,0
0.113,6,1,0
0.121,7,0,0
0.124,7,0,0
0.218,7,0,0
0.135,7,1,0
0.144,7,1,0
0.13,7,1,0
0.138,8,0,0
0.148,8,0,0
0.147,8,0,0
0.136,8,1,0
0.125,8,1,0
0.136,9,0,0
0.159,9,0,0
0.131,9,1,0
0.12,9,1,0
0.173,10,0,1
0.133,10,0,1
0.134,10,0,1
0.146,10,1,1
0.153,10,1,1
0.137,10,1,1
0.18,11,0,1
0.165,11,0,1
0.142,11,0,1
0.122,11,1,1
0.123,11,1,1
0.235,12,0,1
0.209,12,0,1
0.195,12,1,1
0.182,12,1,1
0.185,13,0,1
0.142,13,0,1
0.119,13,1,1
0.126,13,1,1
0.144,14,0,1
0.148,14,1,1
0.192,15,0,1
0.156,15,0,1
0.171,15,1,1
0.152,15,1,1
0.159,15,1,1
0.15,15,1,1
0.156,16,0,1
0.15,16,0,1
0.153,16,1,1
0.157,16,1,1
0.161,17,0,1
0.15,17,0,1
0.122,17,1,1
0.162,18,0,1
0.145,18,0,1
0.143,18,0,1
0.143,18,1,1
0.128,18,1,1
0.149,18,1,1
0.157,19,0,1
0.135,19,0,1
0.123,19,1,1
0.132,19,1,1
0.208,20,0,1
0.229,20,1,1
0.127,21,0,1
0.145,21,0,1
0.129,21,0,1
0.132,21,1,1
0.143,21,1,1
0.116,21,1,1
0.153,22,0,1
0.145,22,0,1
0.119,22,1,1
0.093,22,1,1
0.166,23,0,1
0.127,23,1,1
0.144,24,0,1
0.132,24,0,1
0.124,24,1,1
0.131,24,1,1
0.122,24,1,1
0.176,25,0,1
0.155,25,0,1
0.132,25,1,1
0.17,26,0,1
0.151,26,1,1
0.151,26,1,1
0.153,27,0,1
0.125,27,1,1
0.159,28,0,1
0.152,28,0,1
0.135,28,1,1
0.177,29,0,1
0.154,29,1,1
0.121,30,0,1
0.11,30,1,1
