Time,Athlete,Year
0.173,1,0
0.133,1,0
0.134,1,0
0.146,1,1
0.153,1,1
0.137,1,1
0.18,2,0
0.165,2,0
0.142,2,0
0.122,2,1
0.123,2,1
0.235,3,0
0.209,3,0
0.195,3,1
0.182,3,1
0.185,4,0
0.142,4,0
0.119,4,1
0.126,4,1
0.144,5,0
0.148,5,1
0.192,6,0
0.156,6,0
0.171,6,1
0.152,6,1
0.159,6,1
0.15,6,1
0.156,7,0
0.15,7,0
0.153,7,1
0.157,7,1
0.161,8,0
0.15,8,0
0.122,8,1
0.162,9,0
0.145,9,0
0.143,9,0
0.143,9,1
0.128,9,1
0.149,9,1
0.157,10,0
0.135,10,0
0.123,10,1
0.132,10,1
0.208,11,0
0.229,11,1
0.127,12,0
0.145,12,0
0.129,12,0
0.132,12,1
0.143,12,1
0.116,12,1
0.153,13,0
0.145,13,0
0.119,13,1
0.093,13,1
0.166,14,0
0.127,14,1
0.144,15,0
0.132,15,0
0.124,15,1
0.131,15,1
0.122,15,1
0.176,16,0
0.155,16,0
0.132,16,1
0.17,17,0
0.151,17,1
0.151,17,1
0.153,18,0
0.125,18,1
0.159,19,0
0.152,19,0
0.135,19,1
0.177,20,0
0.154,20,1
0.121,21,0
0.11,21,1
