Time,Athlete,Year
0.153,1,1
0.128,1,1
0.195,1,0
0.138,1,0
0.169,1,0
0.137,2,1
0.113,2,1
0.136,2,0
0.146,2,0
0.132,3,1
0.154,3,1
0.157,3,0
0.129,3,0
0.166,3,0
0.116,4,1
0.128,4,0
0.128,5,1
0.112,5,1
0.146,5,0
0.129,5,0
0.143,5,0
0.14,6,1
0.125,6,1
0.146,6,0
0.16,6,0
0.136,7,1
0.167,7,0
0.149,8,1
0.137,8,0
0.179,9,1
0.176,9,0
0.063,9,0
0.146,10,1
0.135,10,1
0.14,10,1
0.152,10,0
0.162,10,0
0.134,11,1
0.151,11,0
0.14,12,1
0.138,12,0
0.139,13,1
0.129,13,1
0.156,13,0
0.147,14,1
0.128,14,1
0.124,14,1
0.153,14,0
0.137,14,0
0.135,14,0
0.133,15,1
0.142,15,1
0.164,15,0
0.137,15,0
0.134,16,1
0.13,16,1
0.15,16,0
0.142,16,0
0.14,17,1
0.149,17,1
0.159,17,0
0.163,17,0
0.143,17,0
0.159,18,1
0.139,18,1
0.14,18,0
0.144,18,0
0.114,19,1
0.133,19,0
0.15,20,1
0.148,20,1
0.16,20,0
0.165,20,0
0.143,21,1
0.144,21,0
0.134,22,1
0.13,22,1
0.174,22,0
