Time,Athlete,Year
0.137,1,0
0.106,1,0
0.152,1,1
0.158,1,1
0.13,2,0
0.134,2,0
0.166,2,1
0.163,2,1
0.148,3,0
0.165,3,1
0.13,4,0
0.142,4,1
0.156,4,1
0.159,4,1
0.185,5,0
0.126,5,0
0.127,5,0
0.16,5,1
0.138,5,1
0.164,5,1
0.124,6,0
0.138,6,0
0.129,6,0
0.159,6,1
0.177,6,1
0.149,6,1
0.108,7,0
0.144,7,1
0.17,7,1
0.124,8,0
0.167,8,1
0.135,9,0
0.144,9,0
0.13,9,0
0.149,9,1
0.155,9,1
0.152,9,1
0.194,10,0
0.105,10,0
0.105,10,0
0.116,10,1
0.133,10,1
0.132,10,1
0.117,11,0
0.117,11,0
0.139,11,1
0.139,11,1
0.163,12,0
0.143,12,0
0.171,12,1
0.175,12,1
0.137,13,0
0.134,13,0
0.145,13,1
0.141,13,1
0.14,13,1
0.119,14,0
0.165,14,1
0.14,15,0
0.149,15,1
0.131,16,0
0.119,16,0
0.142,16,1
0.136,16,1
0.136,17,0
0.125,17,0
0.146,17,1
0.131,17,1
0.166,18,0
0.173,18,0
0.168,18,1
0.162,18,1
0.14,19,0
0.128,19,0
0.164,19,1
0.158,19,1
0.181,20,0
0.157,20,0
0.18,20,1
0.182,21,0
0.155,21,0
0.145,21,0
0.155,21,1
0.142,21,1
0.155,21,1
0.149,22,0
0.158,22,0
0.158,22,0
0.173,22,1
0.167,22,1
0.131,23,0
0.12,23,0
0.156,23,1
0.146,23,1
0.129,24,0
0.113,24,0
0.14,24,1
0.137,24,1
0.134,25,0
0.123,25,0
0.136,25,1
