Time,Athlete,Year,Event
0.166,1,0,0
0.185,1,0,0
0.126,1,1,0
0.124,1,1,0
0.145,1,1,0
0.177,2,0,0
0.171,2,0,0
0.117,2,1,0
0.12,2,1,0
0.163,3,0,0
0.168,3,0,0
0.12,3,1,0
0.141,3,1,0
0.167,4,0,0
0.146,4,1,0
0.135,4,1,0
0.14,4,1,0
0.201,5,0,0
0.153,5,0,0
0.16,5,0,0
0.123,5,1,0
0.101,5,1,0
0.099,5,1,0
0.186,6,0,0
0.185,6,0,0
0.182,6,0,0
0.115,6,1,0
0.12,6,1,0
0.109,6,1,0
0.192,7,0,0
0.19,7,0,0
0.147,7,1,0
0.128,7,1,0
0.124,7,1,0
0.181,8,0,0
0.2,8,0,0
0.183,8,0,0
0.179,8,1,0
0.181,9,0,0
0.164,9,0,0
0.132,9,1,0
0.154,9,1,0
0.192,10,0,0
0.15,10,1,0
0.148,10,1,0
0.177,11,0,1
0.172,11,0,1
0.148,11,0,1
0.115,11,1,1
0.123,11,1,1
0.119,11,1,1
0.165,12,0,1
0.172,12,0,1
0.201,12,0,1
0.107,12,1,1
0.129,12,1,1
0.119,12,1,1
0.191,13,0,1
0.176,13,0,1
0.156,13,0,1
0.136,13,1,1
0.121,13,1,1
0.11,13,1,1
0.176,14,0,1
0.156,14,0,1
0.122,14,1,1
0.118,14,1,1
0.104,14,1,1
0.159,15,0,1
0.143,15,0,1
0.134,15,1,1
0.121,15,1,1
0.181,16,0,1
0.163,16,0,1
0.16,16,1,1
0.118,16,1,1
0.15,17,0,1
0.144,17,1,1
0.141,17,1,1
0.131,17,1,1
