Time,Athlete,Year,Event
0.2,1,0,0
0.177,1,0,0
0.13,1,1,0
0.208,2,0,0
0.186,2,0,0
0.194,2,1,0
0.169,2,1,0
0.175,3,0,0
0.164,3,0,0
0.168,3,0,0
0.149,3,1,0
0.153,3,1,0
0.125,3,1,0
0.184,4,0,0
0.171,4,0,0
0.161,4,0,0
0.182,4,1,0
0.155,4,1,0
0.145,4,1,0
0.142,5,0,0
0.124,5,1,0
0.176,6,0,0
0.131,6,1,0
0.119,6,1,0
0.13,7,0,0
0.169,7,0,0
0.181,7,1,0
0.157,7,1,0
0.159,8,0,0
0.19,8,0,0
0.149,8,1,0
0.158,8,1,0
0.158,8,1,0
0.257,9,0,0
0.209,9,0,0
0.147,9,1,0
0.187,10,0,0
0.22,10,0,0
0.136,10,1,0
0.125,10,1,0
0.162,11,0,1
0.163,11,0,1
0.163,11,0,1
0.135,11,1,1
0.161,12,0,1
0.175,12,0,1
0.158,12,0,1
0.153,12,1,1
0.157,12,1,1
0.155,13,0,1
0.16,13,0,1
0.171,13,0,1
0.132,13,1,1
0.143,13,1,1
0.116,13,1,1
0.18,14,0,1
0.191,14,0,1
0.185,14,0,1
0.195,14,1,1
0.182,14,1,1
0.184,15,0,1
0.198,15,0,1
0.199,15,0,1
0.137,15,1,1
0.15,15,1,1
0.175,16,0,1
0.168,16,0,1
0.173,16,0,1
0.124,16,1,1
0.16,16,1,1
0.145,16,1,1
0.183,17,0,1
0.172,17,0,1
0.187,17,0,1
0.127,17,1,1
0.14,17,1,1
0.136,17,1,1
0.136,18,0,1
0.119,18,1,1
0.126,18,1,1
