Year,Stage,TotalTime,ReactionTime,Gender,Batch,Event
2022,H,13.28,0.115,M,1,110 Hurdles
2022,H,13.36,0.139,M,1,110 Hurdles
2022,H,13.45,0.12,M,1,110 Hurdles
2022,H,13.49,0.14,M,1,110 Hurdles
2022,H,13.49,0.134,M,1,110 Hurdles
2022,H,13.61,0.114,M,1,110 Hurdles
2022,H,13.65,0.121,M,1,110 Hurdles
2022,H,14.19,0.149,M,1,110 Hurdles
2022,H,13.14,0.147,M,2,110 Hurdles
2022,H,13.37,0.146,M,2,110 Hurdles
2022,H,13.41,0.126,M,2,110 Hurdles
2022,H,13.46,0.134,M,2,110 Hurdles
2022,H,13.51,0.153,M,2,110 Hurdles
2022,H,13.58,0.116,M,2,110 Hurdles
2022,H,13.7,0.179,M,2,110 Hurdles
2022,H,13.82,0.134,M,2,110 Hurdles
2022,H,13.37,0.137,M,3,110 Hurdles
2022,H,13.44,0.134,M,3,110 Hurdles
2022,H,13.48,0.132,M,3,110 Hurdles
2022,H,13.53,0.144,M,3,110 Hurdles
2022,H,13.55,0.159,M,3,110 Hurdles
2022,H,13.78,0.14,M,3,110 Hurdles
2022,H,13.81,0.145,M,3,110 Hurdles
2022,H,D,0.179,M,3,110 Hurdles
2022,H,13.17,0.153,M,4,110 Hurdles
2022,H,13.23,0.14,M,4,110 Hurdles
2022,H,13.32,0.15,M,4,110 Hurdles
2022,H,13.47,0.134,M,4,110 Hurdles
2022,H,13.58,0.137,M,4,110 Hurdles
2022,H,13.73,0.182,M,4,110 Hurdles
2022,H,13.91,0.143,M,4,110 Hurdles
2022,H,13.95,0.198,M,4,110 Hurdles
2022,H,13.47,0.123,M,5,110 Hurdles
2022,H,13.52,0.133,M,5,110 Hurdles
2022,H,13.56,0.128,M,5,110 Hurdles
2022,H,13.57,0.117,M,5,110 Hurdles
2022,H,13.64,0.116,M,5,110 Hurdles
2022,H,13.81,0.12,M,5,110 Hurdles
2022,H,14.35,0.136,M,5,110 Hurdles
2022,H,D,0.15,M,5,110 Hurdles
2022,S,13.01,0.128,M,6,110 Hurdles
2022,S,13.31,0.124,M,6,110 Hurdles
2022,S,13.37,0.13,M,6,110 Hurdles
2022,S,13.46,0.125,M,6,110 Hurdles
2022,S,13.47,0.154,M,6,110 Hurdles
2022,S,13.67,0.139,M,6,110 Hurdles
2022,S,13.67,0.149,M,6,110 Hurdles
2022,S,13.68,0.144,M,6,110 Hurdles
2022,S,13.07,0.12,M,7,110 Hurdles
2022,S,13.26,0.141,M,7,110 Hurdles
2022,S,13.27,0.129,M,7,110 Hurdles
2022,S,13.4,0.129,M,7,110 Hurdles
2022,S,13.42,0.112,M,7,110 Hurdles
2022,S,13.49,0.142,M,7,110 Hurdles
2022,S,13.51,0.12,M,7,110 Hurdles
2022,S,13.62,0.13,M,7,110 Hurdles
2022,S,13.02,0.128,M,8,110 Hurdles
2022,S,13.09,0.101,M,8,110 Hurdles
2022,S,13.21,0.115,M,8,110 Hurdles
2022,S,13.22,0.135,M,8,110 Hurdles
2022,S,13.25,0.148,M,8,110 Hurdles
2022,S,13.35,0.141,M,8,110 Hurdles
2022,S,13.42,0.131,M,8,110 Hurdles
2022,S,13.44,0.113,M,8,110 Hurdles
2022,F,13.03,0.124,M,9,110 Hurdles
2022,F,13.08,0.109,M,9,110 Hurdles
2022,F,13.17,0.126,M,9,110 Hurdles
2022,F,13.32,0.14,M,9,110 Hurdles
2022,F,13.33,0.145,M,9,110 Hurdles
2022,F,D,0.108,M,9,110 Hurdles
2022,F,D,0.099,M,9,110 Hurdles
2019,H,13.17,0.132,M,10,110 Hurdles
2019,H,13.37,0.148,M,10,110 Hurdles
2019,H,13.41,0.126,M,10,110 Hurdles
2019,H,13.46,0.125,M,10,110 Hurdles
2019,H,13.49,0.158,M,10,110 Hurdles
2019,H,13.6,0.144,M,10,110 Hurdles
2019,H,13.65,0.157,M,10,110 Hurdles
2019,H,D,0.149,M,10,110 Hurdles
2019,H,13.27,0.138,M,11,110 Hurdles
2019,H,13.38,0.156,M,11,110 Hurdles
2019,H,13.39,0.183,M,11,110 Hurdles
2019,H,13.51,0.156,M,11,110 Hurdles
2019,H,13.6,0.142,M,11,110 Hurdles
2019,H,13.73,0.156,M,11,110 Hurdles
2019,H,13.74,0.125,M,11,110 Hurdles
2019,H,13.92,0.165,M,11,110 Hurdles
2019,H,13.45,0.16,M,12,110 Hurdles
2019,H,13.53,0.16,M,12,110 Hurdles
2019,H,13.67,0.157,M,12,110 Hurdles
2019,H,13.76,0.159,M,12,110 Hurdles
2019,H,14.07,0.15,M,12,110 Hurdles
2019,H,D,0.186,M,12,110 Hurdles
2019,H,13.22,0.16,M,13,110 Hurdles
2019,H,13.32,0.146,M,13,110 Hurdles
2019,H,13.43,0.142,M,13,110 Hurdles
2019,H,13.43,0.145,M,13,110 Hurdles
2019,H,13.5,0.139,M,13,110 Hurdles
2019,H,13.53,0.142,M,13,110 Hurdles
2019,H,14.54,0.149,M,13,110 Hurdles
2019,H,14.79,0.166,M,13,110 Hurdles
2019,H,13.15,0.14,M,14,110 Hurdles
2019,H,13.48,0.156,M,14,110 Hurdles
2019,H,13.57,0.19,M,14,110 Hurdles
2019,H,13.67,0.179,M,14,110 Hurdles
2019,H,13.68,0.219,M,14,110 Hurdles
2019,H,13.7,0.214,M,14,110 Hurdles
2019,H,13.75,0.203,M,14,110 Hurdles
2019,H,14.37,0.161,M,14,110 Hurdles
2019,S,13.1,0.166,M,15,110 Hurdles
2019,S,13.18,0.129,M,15,110 Hurdles
2019,S,13.48,0.152,M,15,110 Hurdles
2019,S,13.57,0.154,M,15,110 Hurdles
2019,S,13.6,0.123,M,15,110 Hurdles
2019,S,13.6,0.162,M,15,110 Hurdles
2019,S,14.29,0.169,M,15,110 Hurdles
2019,S,D,0.163,M,15,110 Hurdles
2019,S,13.08,0.141,M,16,110 Hurdles
2019,S,13.12,0.163,M,16,110 Hurdles
2019,S,13.22,0.137,M,16,110 Hurdles
2019,S,13.36,0.119,M,16,110 Hurdles
2019,S,13.52,0.132,M,16,110 Hurdles
2019,S,13.52,0.155,M,16,110 Hurdles
2019,S,13.53,0.158,M,16,110 Hurdles
2019,S,13.76,0.164,M,16,110 Hurdles
2019,S,13.16,0.131,M,17,110 Hurdles
2019,S,13.29,0.162,M,17,110 Hurdles
2019,S,13.47,0.123,M,17,110 Hurdles
2019,S,13.54,0.198,M,17,110 Hurdles
2019,S,13.57,0.136,M,17,110 Hurdles
2019,S,13.58,0.144,M,17,110 Hurdles
2019,S,13.6,0.133,M,17,110 Hurdles
2019,S,13.61,0.176,M,17,110 Hurdles
2019,F,13.1,0.158,M,18,110 Hurdles
2019,F,13.15,0.15,M,18,110 Hurdles
2019,F,13.18,0.161,M,18,110 Hurdles
2019,F,13.3,0.13,M,18,110 Hurdles
2019,F,13.29,0.14,M,18,110 Hurdles
2019,F,13.61,0.149,M,18,110 Hurdles
2019,F,13.7,0.124,M,18,110 Hurdles
2019,F,13.87,0.15,M,18,110 Hurdles
2019,F,D,0.128,M,18,110 Hurdles
2017,H,13.23,0.138,M,19,110 Hurdles
2017,H,13.35,0.132,M,19,110 Hurdles
2017,H,13.41,0.147,M,19,110 Hurdles
2017,H,13.5,0.178,M,19,110 Hurdles
2017,H,13.56,0.135,M,19,110 Hurdles
2017,H,13.59,0.152,M,19,110 Hurdles
2017,H,13.65,0.144,M,19,110 Hurdles
2017,H,14.51,0.153,M,19,110 Hurdles
2017,H,14.55,0.148,M,19,110 Hurdles
2017,H,13.26,0.135,M,20,110 Hurdles
2017,H,13.36,0.169,M,20,110 Hurdles
2017,H,13.53,0.175,M,20,110 Hurdles
2017,H,13.58,0.159,M,20,110 Hurdles
2017,H,13.63,0.138,M,20,110 Hurdles
2017,H,13.63,0.157,M,20,110 Hurdles
2017,H,13.64,0.158,M,20,110 Hurdles
2017,H,13.67,0.12,M,20,110 Hurdles
2017,H,13.16,0.125,M,21,110 Hurdles
2017,H,13.39,0.216,M,21,110 Hurdles
2017,H,13.43,0.122,M,21,110 Hurdles
2017,H,13.56,0.148,M,21,110 Hurdles
2017,H,13.58,0.158,M,21,110 Hurdles
2017,H,13.62,0.142,M,21,110 Hurdles
2017,H,13.78,0.138,M,21,110 Hurdles
2017,H,13.81,0.139,M,21,110 Hurdles
2017,H,13.28,0.168,M,22,110 Hurdles
2017,H,13.34,0.162,M,22,110 Hurdles
2017,H,13.38,0.148,M,22,110 Hurdles
2017,H,13.4,0.143,M,22,110 Hurdles
2017,H,13.48,0.179,M,22,110 Hurdles
2017,H,13.52,0.127,M,22,110 Hurdles
2017,H,13.56,0.177,M,22,110 Hurdles
2017,H,DNF,0.145,M,22,110 Hurdles
2017,H,13.37,0.147,M,23,110 Hurdles
2017,H,13.42,0.172,M,23,110 Hurdles
2017,H,13.47,0.168,M,23,110 Hurdles
2017,H,13.53,0.141,M,23,110 Hurdles
2017,H,13.61,0.17,M,23,110 Hurdles
2017,H,13.78,0.132,M,23,110 Hurdles
2017,H,13.98,0.143,M,23,110 Hurdles
2017,H,D,0.201,M,23,110 Hurdles
2017,S,13.1,0.135,M,24,110 Hurdles
2017,S,13.17,0.125,M,24,110 Hurdles
2017,S,13.22,0.16,M,24,110 Hurdles
2017,S,13.23,0.148,M,24,110 Hurdles
2017,S,13.32,0.146,M,24,110 Hurdles
2017,S,13.4,0.14,M,24,110 Hurdles
2017,S,13.79,0.16,M,24,110 Hurdles
2017,S,DNF,0.152,M,24,110 Hurdles
2017,S,13.26,0.179,M,25,110 Hurdles
2017,S,13.27,0.181,M,25,110 Hurdles
2017,S,13.27,0.126,M,25,110 Hurdles
2017,S,13.28,0.137,M,25,110 Hurdles
2017,S,13.42,0.183,M,25,110 Hurdles
2017,S,13.43,0.175,M,25,110 Hurdles
2017,S,13.65,0.157,M,25,110 Hurdles
2017,S,13.79,0.158,M,25,110 Hurdles
2017,S,13.23,0.12,M,26,110 Hurdles
2017,S,13.25,0.117,M,26,110 Hurdles
2017,S,13.36,0.171,M,26,110 Hurdles
2017,S,13.59,0.23,M,26,110 Hurdles
2017,S,13.67,0.18,M,26,110 Hurdles
2017,S,13.7,0.133,M,26,110 Hurdles
2017,S,14.98,0.174,M,26,110 Hurdles
2017,S,DNF,0.147,M,26,110 Hurdles
2017,F,13.04,0.123,M,27,110 Hurdles
2017,F,13.14,0.132,M,27,110 Hurdles
2017,F,13.28,0.122,M,27,110 Hurdles
2017,F,13.3,0.115,M,27,110 Hurdles
2017,F,13.31,0.163,M,27,110 Hurdles
2017,F,13.32,0.169,M,27,110 Hurdles
2017,F,13.37,0.14,M,27,110 Hurdles
2017,F,13.37,0.145,M,27,110 Hurdles
2015,H,13.28,0.151,M,28,110 Hurdles
2015,H,13.43,0.157,M,28,110 Hurdles
2015,H,13.44,0.164,M,28,110 Hurdles
2015,H,13.48,0.146,M,28,110 Hurdles
2015,H,13.96,0.12,M,28,110 Hurdles
2015,H,14,0.137,M,28,110 Hurdles
2015,H,14.56,0.17,M,28,110 Hurdles
2015,H,DR162.7,0.053,M,28,110 Hurdles
2015,H,DR168.7(b),0.16,M,28,110 Hurdles
2015,H,13.35,0.151,M,29,110 Hurdles
2015,H,13.43,0.172,M,29,110 Hurdles
2015,H,13.44,0.202,M,29,110 Hurdles
2015,H,13.49,0.151,M,29,110 Hurdles
2015,H,13.78,0.159,M,29,110 Hurdles
2015,H,13.86,0.147,M,29,110 Hurdles
2015,H,13.15,0.149,M,30,110 Hurdles
2015,H,13.43,0.138,M,30,110 Hurdles
2015,H,13.45,0.139,M,30,110 Hurdles
2015,H,13.55,0.162,M,30,110 Hurdles
2015,H,13.57,0.138,M,30,110 Hurdles
2015,H,13.58,0.145,M,30,110 Hurdles
2015,H,13.64,0.205,M,30,110 Hurdles
2015,H,13.91,0.178,M,30,110 Hurdles
2015,H,14.74,0.161,M,30,110 Hurdles
2015,H,13.33,0.14,M,31,110 Hurdles
2015,H,13.35,0.115,M,31,110 Hurdles
2015,H,13.41,0.134,M,31,110 Hurdles
2015,H,13.41,0.155,M,31,110 Hurdles
2015,H,13.43,0.13,M,31,110 Hurdles
2015,H,13.69,0.15,M,31,110 Hurdles
2015,H,13.72,0.144,M,31,110 Hurdles
2015,H,13.89,0.185,M,31,110 Hurdles
2015,H,13.25,0.142,M,32,110 Hurdles
2015,H,13.29,0.159,M,32,110 Hurdles
2015,H,13.31,0.134,M,32,110 Hurdles
2015,H,13.46,0.127,M,32,110 Hurdles
2015,H,13.61,0.125,M,32,110 Hurdles
2015,H,13.63,0.261,M,32,110 Hurdles
2015,H,13.65,0.195,M,32,110 Hurdles
2015,H,DNF,0.158,M,32,110 Hurdles
2015,S,13.09,0.143,M,33,110 Hurdles
2015,S,13.16,0.231,M,33,110 Hurdles
2015,S,13.25,0.143,M,33,110 Hurdles
2015,S,13.29,0.142,M,33,110 Hurdles
2015,S,13.31,0.167,M,33,110 Hurdles
2015,S,13.45,0.133,M,33,110 Hurdles
2015,S,13.58,0.144,M,33,110 Hurdles
2015,S,13.67,0.156,M,33,110 Hurdles
2015,S,DNF,0.141,M,33,110 Hurdles
2015,S,13.08,0.133,M,34,110 Hurdles
2015,S,13.14,0.158,M,34,110 Hurdles
2015,S,13.17,0.156,M,34,110 Hurdles
2015,S,13.37,0.141,M,34,110 Hurdles
2015,S,13.37,0.19,M,34,110 Hurdles
2015,S,13.39,0.163,M,34,110 Hurdles
2015,S,13.44,0.15,M,34,110 Hurdles
2015,S,13.79,0.147,M,34,110 Hurdles
2015,S,13.16,0.132,M,35,110 Hurdles
2015,S,13.17,0.162,M,35,110 Hurdles
2015,S,13.34,0.153,M,35,110 Hurdles
